,doc_id,a_annotator,a_label,b_annotator,b_label,text
0,51020131203,Sheridan,COERCED STATE (SPECIFIC),Kate,BASIC STATE,if I gave you the political positions of 
1,11776,Muskaan,COERCED STATE (SPECIFIC),Kate,BASIC STATE,I would have been a big proponent of writing broad laws 
2,30920174441,Sheridan,COERCED STATE (SPECIFIC),Kate,BASIC STATE,"Denver may be considered the beginning of the end for the weed , "
3,51020131204,Sheridan,BASIC STATE,Muskaan,COERCED STATE (SPECIFIC),you say may not be accurate . 
4,51020131206,Muskaan,COERCED STATE (SPECIFIC),Kate,BASIC STATE,"the definition of separate and unable states may differ based on member number , demographic characteristics , hierarchy and interests . "
5,51020131202,Muskaan,COERCED STATE (SPECIFIC),Kate,BASIC STATE,"If India is a big country , "
6,51020131206,Muskaan,BASIC STATE,Kate,COERCED STATE (SPECIFIC),including the services . 
7,51020131206,Muskaan,BASIC STATE,Kate,COERCED STATE (SPECIFIC),"including the public goods , "
8,51020131206,Muskaan,COERCED STATE (SPECIFIC),Kate,BASIC STATE,"new universal health care system must be passed , "
9,30920174441,Sheridan,COERCED STATE (SPECIFIC),Kate,BASIC STATE,the number does not differ at all . 
