,doc_id,a_annotator,a_label,b_annotator,b_label,text
0,51020131203,Sheridan,COERCED STATE (GENERIC),Kate,GENERIC SENTENCE (STATIC),with which principles will allow both .
1,17142,Sheridan,COERCED STATE (GENERIC),Kate,GENERIC SENTENCE (STATIC),but you ca n't say 
2,51020131204,Sheridan,GENERIC SENTENCE (STATIC),Muskaan,COERCED STATE (GENERIC),there could be no indigenous killing or rapes . 
3,51020131206,Muskaan,COERCED STATE (GENERIC),Kate,GENERIC SENTENCE (STATIC),Here is how you make it happen : 
4,51020131206,Muskaan,GENERIC SENTENCE (STATIC),Kate,COERCED STATE (GENERIC),that reflects their individual communities and international alliances . 
5,30920174448,Sheridan,GENERIC SENTENCE (STATIC),Muskaan,COERCED STATE (GENERIC),that which is supposed to be based on the people involved 
6,30920174441,Sheridan,GENERIC SENTENCE (STATIC),Kate,COERCED STATE (GENERIC),and we 'd expect some legalisation in the not too distant future .
7,51020131206,Muskaan,COERCED STATE (GENERIC),Kate,GENERIC SENTENCE (STATIC),"if they can get a shot at a new life , "
8,30920174446,Muskaan,COERCED STATE (GENERIC),Kate,GENERIC SENTENCE (STATIC),'It 'll turn people into petrified for life.' 
9,30920174441,Sheridan,COERCED STATE (GENERIC),Kate,GENERIC SENTENCE (STATIC),in which it will be able to influence your behaviour .
