,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,30920174448,Sheridan,"['37', '38', '33', '36', 'elab']",Muskaan,"['36', '36', '37', '37', 'vex']"
1,51020131203,Sheridan,"['17', '18', '16', '16', 'elab']",Kate,"['16', '16', '17', '17', 've']"
2,51020131204,Sheridan,"['77', '79', '74', '76', 'elabx']",Muskaan,"['73', '75', '76', '79', 'vex']"
3,51020131203,Sheridan,"['3', '5', '2', '2', 'elab']",Kate,"['0', '2', '3', '5', 've']"
4,30920174448,Sheridan,"['53', '53', '52', '52', 'elab']",Muskaan,"['52', '52', '53', '54', 've']"
5,30920174446,Kate,"['12', '18', '11', '11', 'elab']",Muskaan,"['12', '16', '10', '11', 'vex']"
6,51020131204,Sheridan,"['74', '74', '75', '76', 'elab']",Muskaan,"['73', '75', '76', '79', 'vex']"
7,51020131204,Sheridan,"['76', '76', '75', '75', 'elab']",Muskaan,"['73', '75', '76', '79', 'vex']"
8,51020131204,Sheridan,"['74', '76', '72', '73', 'elab']",Muskaan,"['73', '75', '76', '79', 'vex']"
9,30920174448,Sheridan,"['57', '57', '58', '58', 'elab']",Muskaan,"['57', '57', '58', '59', 've']"
