,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,51020131203,Sheridan,"['9', '9', '10', '10', 'elab']",Kate,"['9', '9', '10', '10', 'attr']"
1,291020230451,Sheridan,"['16', '19', '15', '15', 'elab']",Muskaan,"['16', '19', '15', '15', 'attr']"
2,51020131202,Kate,"['55', '55', '56', '59', 'attr']",Muskaan,"['56', '59', '55', '55', 'elab']"
3,51020131204,Sheridan,"['5', '5', '1', '4', 'elab']",Muskaan,"['2', '2', '3', '5', 'attr']"
4,51020131204,Sheridan,"['3', '3', '2', '2', 'elab']",Muskaan,"['2', '2', '3', '5', 'attr']"
5,51020131204,Sheridan,"['4', '4', '2', '3', 'elabx']",Muskaan,"['2', '2', '3', '5', 'attr']"
6,51020131204,Sheridan,"['10', '10', '9', '9', 'elab']",Muskaan,"['10', '15', '7', '9', 'attr']"
7,30920174441,Sheridan,"['40', '42', '39', '39', 'elab']",Kate,"['38', '42', '42', '42', 'attr']"
8,30920174441,Sheridan,"['42', '42', '41', '41', 'elab']",Kate,"['38', '42', '42', '42', 'attr']"
9,30920174441,Sheridan,"['73', '76', '72', '72', 'elab']",Kate,"['73', '73', '72', '72', 'attr']"
10,30920174441,Sheridan,"['75', '76', '73', '74', 'elab']",Kate,"['74', '74', '75', '75', 'attr']"
11,30920174448,Sheridan,"['7', '7', '8', '11', 'attr']",Muskaan,"['8', '10', '7', '7', 'elab']"
12,30920174448,Sheridan,"['7', '7', '8', '11', 'attr']",Muskaan,"['11', '12', '6', '10', 'elab']"
13,30920174448,Sheridan,"['24', '24', '25', '27', 'attr']",Muskaan,"['25', '26', '24', '24', 'elabx']"
