,doc_id,a_annotator,a_label,b_annotator,b_label,text
0,30920174441,Sheridan,GENERIC SENTENCE (STATIC),Kate,BASIC STATE,They 're waaaaay ahead of a greater-than-expected push 
1,51020131206,Muskaan,BASIC STATE,Kate,GENERIC SENTENCE (STATIC),"The reach of this system , this world of government is deeply fragmented and often ludicrous , "
2,51020131202,Muskaan,GENERIC SENTENCE (STATIC),Kate,BASIC STATE,You can see 
3,30920174446,Muskaan,BASIC STATE,Kate,GENERIC SENTENCE (STATIC),Self-care 'has therapeutic benefits ' 
4,51020131202,Muskaan,BASIC STATE,Kate,GENERIC SENTENCE (STATIC),It does not seem so surprising  
5,51020131202,Muskaan,BASIC STATE,Kate,GENERIC SENTENCE (STATIC),"We are not opposed to a well-managed , safe , healthy , and adequate society ,  "
6,30920174441,Sheridan,GENERIC SENTENCE (STATIC),Kate,BASIC STATE,use of it is not strictly illegal . 
7,30920174446,Muskaan,BASIC STATE,Kate,GENERIC SENTENCE (STATIC),That 's not exactly true : 
8,30920174446,Muskaan,BASIC STATE,Kate,GENERIC SENTENCE (STATIC),Indulgence 'is one of the most common reasons to take weed' 
9,30920174446,Muskaan,BASIC STATE,Kate,GENERIC SENTENCE (STATIC),'Cannabis has a role  
