,doc_id,a_annotator,a_label,b_annotator,b_label,text
0,30920174441,Sheridan,OTHER,Kate,GENERIC SENTENCE (STATIC),One of the most popular illegal drugs in US law enforcement is the napalm .
1,17142,Sheridan,GENERIC SENTENCE (STATIC),Kate,OTHER,it legalized for the sole purpose of being a cure . 
2,51020131204,Sheridan,OTHER,Muskaan,GENERIC SENTENCE (STATIC),"like in the U.S. , "
3,17142,Sheridan,GENERIC SENTENCE (STATIC),Kate,OTHER,that people 
4,51020131202,Muskaan,GENERIC SENTENCE (STATIC),Kate,OTHER,got a way 
5,17142,Sheridan,GENERIC SENTENCE (STATIC),Kate,OTHER,that we do today .
6,17142,Sheridan,GENERIC SENTENCE (STATIC),Kate,OTHER,people 
7,51020131203,Sheridan,GENERIC SENTENCE (STATIC),Kate,OTHER,But with an issue like Pro-Life vs 
8,30920174441,Sheridan,GENERIC SENTENCE (STATIC),Kate,OTHER,""" Could be a Federal Device From Oct. 7 , "
9,17142,Sheridan,GENERIC SENTENCE (STATIC),Kate,OTHER,"Better than alcohol , "
