,doc_id,a_annotator,a_label,b_annotator,b_label,text
0,291020230451,Sheridan,UNBOUNDED EVENT (GENERIC),Muskaan,COERCED STATE (GENERIC),whether to legalize marijuana 
1,30920174441,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"and could n't be bothered to plant it in a valuable natural form , "
2,30920174441,Sheridan,UNBOUNDED EVENT (GENERIC),Kate,COERCED STATE (GENERIC),you 're getting a second view of the pot 
3,30920174441,Sheridan,UNBOUNDED EVENT (GENERIC),Kate,COERCED STATE (GENERIC),and getting in the habit of its treat .
4,30920174441,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),If a smoker took his own medicine 
5,30920174441,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"If using a public street corner ,"
6,51020131206,Muskaan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"to screw , demagogue , ruin , "
7,11776,Muskaan,UNBOUNDED EVENT (GENERIC),Kate,COERCED STATE (GENERIC),We expanded the scope of laws 
8,51020131202,Muskaan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"Any progressive organization will not fight against the wrongs done , "
9,17142,Sheridan,COERCED STATE (GENERIC),Kate,UNBOUNDED EVENT (GENERIC),"When we got this tech , "
